stop_id,stop_name,trains
423,Borough Hall,4 5
A40,High St,A C
A41,Jay St - MetroTech,A C
A42,Hoyt - Schermerhorn Sts,A C G
A43,Lafayette Av,C
A44,Clinton - Washington Avs,C
A45,Franklin Av,C
A46,Nostrand Av,A C
A47,Kingston - Throop Avs,C
A48,Utica Av,A C
A49,Ralph Av,C
A50,Rockaway Av,C
A51,Broadway Jct,A C
A52,Liberty Av,C
A53,Van Siclen Av,C
A54,Shepherd Av,C
A55,Euclid Av,A C
A57,Grant Av,A
B12,9 Av,D
B13,Fort Hamilton Pkwy,D
B14,50 St,D
B15,55 St,D
B16,62 St,D
B17,71 St,D
B18,79 St,D
B19,18 Av,D
B20,20 Av,D
B21,Bay Pkwy,D
B22,25 Av,D
B23,Bay 50 St,D
D24,Atlantic Av - Barclays Ctr,B Q
D25,7 Av,B Q
D26,Prospect Park,B Q S
D27,Parkside Av,Q
D28,Church Av,B Q
D29,Beverley Rd,Q
D30,Cortelyou Rd,Q
D31,Newkirk Plaza,B Q
D32,Avenue H,Q
D33,Avenue J,Q
D34,Avenue M,Q
D35,Kings Hwy,B Q
D37,Avenue U,Q
D38,Neck Rd,Q
D39,Sheepshead Bay,B Q
D40,Brighton Beach,B Q
D41,Ocean Pkwy,Q
D42,W 8 St - NY Aquarium,F Q
D43,Coney Island - Stillwell Av,D F N Q
F18,York St,F
F20,Bergen St,F G
F21,Carroll St,F G
F22,Smith - 9 Sts,F G
F23,4 Av,F G
F24,7 Av,F G
F25,15 St - Prospect Park,F G
F26,Fort Hamilton Pkwy,F G
F27,Church Av,F G
F29,Ditmas Av,F
F30,18 Av,F
F31,Avenue I,F
F32,Bay Pkwy,F
F33,Avenue N,F
F34,Avenue P,F
F35,Kings Hwy,F
F36,Avenue U,F
F38,Avenue X,F
F39,Neptune Av,F
G26,Greenpoint Av,G
G28,Nassau Av,G
G29,Metropolitan Av,G
G30,Broadway,G
G31,Flushing Av,G
G32,Myrtle - Willoughby Avs,G
G33,Bedford - Nostrand Avs,G
G34,Classon Av,G
G35,Clinton - Washington Avs,G
G36,Fulton St,G
J19,Cypress Hills,J
J20,Crescent St,J Z
J21,Norwood Av,J Z
J22,Cleveland St,J
J23,Van Siclen Av,J Z
J24,Alabama Av,J
J27,Broadway Jct,J Z
J28,Chauncey St,J Z
J29,Halsey St,J
J30,Gates Av,J Z
J31,Kosciuszko St,J
L08,Bedford Av,L
L10,Lorimer St,L
L11,Graham Av,L
L12,Grand St,L
L13,Montrose Av,L
L14,Morgan Av,L
L15,Jefferson St,L
L16,DeKalb Av,L
L17,Myrtle - Wyckoff Avs,L
L20,Wilson Av,L
L21,Bushwick Av - Aberdeen St,L
L22,Broadway Jct,L
L24,Atlantic Av,L
L25,Sutter Av,L
L26,Livonia Av,L
L27,New Lots Av,L
L28,E 105 St,L
L29,Canarsie - Rockaway Pkwy,L
M08,Myrtle - Wyckoff Avs,M
M09,Knickerbocker Av,M
M10,Central Av,M
M11,Myrtle Av,J M Z
M12,Flushing Av,J M
M13,Lorimer St,J M
M14,Hewes St,J M
M16,Marcy Av,J M Z
N02,8 Av,N
N03,Fort Hamilton Pkwy,N
N04,New Utrecht Av,N
N05,18 Av,N
N06,20 Av,N
N07,Bay Pkwy,N
N08,Kings Hwy,N
N09,Avenue U,N
N10,86 St,N
R28,Court St,R
R29,Jay St - MetroTech,F R
R30,DeKalb Av,B Q R
