stop_id,stop_name,stop_lat,stop_lon
100646,BOSTON RD/E 180 ST,40.842561,-73.878332
103374,BRUSH AV/BRUCKNER BL,40.828085,-73.841003
103375,CROSS BX SVC RD/ZEREGA AV,40.828995,-73.844561
103379,CROSS BX SVC RD/NEWBOLD AV,40.832499,-73.856998
103380,CROSS BX SVC RD/TAYLOR AV,40.835387,-73.866431
103383,CROSS BX SVC RD/ROSDALE AV,40.835547,-73.869817
103385,CROSS BX SVC RD/PUGSLEY AV,40.831930,-73.857119
103392,WESTCHESTER AV/VIRGINIA AV,40.832922,-73.861742
103523,CROSS BX SVC RD/CASTLE HILL AV,40.830076,-73.850820
103767,LAFAYETTE AV/HUTCHINSON RVR PKY,40.824949,-73.836972
103900,CROSS BX SVC RD S/BEACH AV,40.834919,-73.867288
103995,CROSS BX SVC RD/HAVILAND AV,40.830446,-73.850209
103996,E 180 ST/DEVOE AV,40.842458,-73.877118
104003,E TREMONT AV/BOSTON RD,40.839819,-73.878374
104004,BRUCKNER BL/BRUSH AV,40.827862,-73.838930
400134,5 AV/W 44 ST,40.754500,-73.980223
400135,5 AV/W 42 ST,40.753141,-73.981216
400316,5 AV/W 56 ST,40.761999,-73.974749
400324,5 AV/W 33 ST,40.747494,-73.985338
400327,5 AV/W 26 ST,40.743132,-73.988487
400353,32 ST/MADISON AV,40.746522,-73.984127
400354,MADISON AV/E 34 ST,40.748328,-73.982437
400358,MADISON AV/E 45 ST,40.755233,-73.977403
400359,MADISON AV/E 47 ST,40.756492,-73.976474
400360,MADISON AV/E 49 ST,40.757755,-73.975576
400361,MADISON AV/E 52 ST,40.759636,-73.974182
400362,MADISON AV/E 55  ST,40.761509,-73.972820
400363,MADISON AV/E 57 ST,40.762858,-73.971838
400514,5 AV/W 52 ST,40.759924,-73.976306
400515,5 AV/W 49 ST,40.758031,-73.977678
400516,5 AV/W 46 ST,40.756156,-73.979047
400518,5 AV/W 41 ST,40.753191,-73.981154
400519,5 AV/W 38 ST,40.750927,-73.982808
400552,W 32 ST/7 AV,40.749062,-73.990139
400555,E 32 ST/5 AV,40.746998,-73.985295
400561,MADISON AV/E 42 ST,40.753337,-73.978759
401840,E 34 ST/3 AV,40.745998,-73.978634
401842,E 34 ST/PARK AV,40.747234,-73.981547
402130,E 23 ST/BROADWAY,40.741142,-73.988790
402133,E 23 ST/LEXINGTON  AV,40.739217,-73.984281
402134,E 23 ST/3 AV,40.738589,-73.982755
402143,E 23 ST/1 AV,40.737297,-73.979360
402146,E 23 ST/LEXINGTON AV,40.739661,-73.984992
402212,E 57 ST/PARK AV,40.761368,-73.970287
402214,E 57 ST/LEXINGTON AV,40.760727,-73.968725
402215,E 57 ST/3 AV,40.759910,-73.966804
402224,E 57 ST/3 AV,40.760521,-73.967931
402377,E 59 ST/MADISON AV,40.763373,-73.971157
402378,E 59 ST/PARK AV,40.762721,-73.969597
402379,E 59 ST/LEXINGTON AV,40.762003,-73.967798
402380,E 59 ST/3 AV,40.761374,-73.966476
402441,E 60 ST/2 AV,40.761513,-73.964418
402443,E 60 ST/LEXINGTON AV,40.762985,-73.967796
402444,E 60 ST/PARK AV,40.763738,-73.969616
402446,5 AV/W 58 ST,40.763251,-73.973803
402679,3 AV/E 42 ST,40.751085,-73.974122
402681,3 AV/E 47 ST,40.754234,-73.971850
403266,5 AV/W 56 ST,40.761799,-73.974937
403456,MADISON AV/E 37 ST,40.750124,-73.981081
403457,MADISON AV/E 40  ST,40.752018,-73.979743
403539,W 32 ST/Broadway,40.748379,-73.988595
403593,E 60 ST/MADISON AV,40.764444,-73.971297
403617,E 57 ST/LEXINGTON AV,40.761183,-73.969508
404169,3 AV/E 55 ST,40.759215,-73.968185
404295,MADISON AV/E 25 ST,40.742006,-73.987081
404296,MADISON AV/E 29 ST,40.744242,-73.985420
404297,MADISON AV/E 33 ST,40.746968,-73.983438
404298,MADISON AV/E 40 ST,40.751419,-73.980196
404299,MADISON AV/E 48 ST,40.756882,-73.976199
404300,MADISON AV/E 54 ST,40.760615,-73.973461
404302,E 59 ST/2 AV,40.760619,-73.964518
405179,5 AV/W 44 ST,40.754870,-73.979966
450123,5 AV/W 50 ST,40.758880,-73.977029
450375,W 37 ST/5 AV,40.750449,-73.983329
500002,165 ST/HILLSIDE AV,40.709146,-73.797156
500003,HILLSIDE AV/169 ST,40.710593,-73.793092
500004,HILLSIDE AV/171 ST,40.711440,-73.790887
500007,HILLSIDE AV/180 ST,40.713052,-73.781915
500008,HILLSIDE AV/182 PL,40.713574,-73.779850
500009,HILLSIDE AV/184 ST,40.714085,-73.777516
500010,HILLSIDE AV/187 ST,40.714481,-73.775904
500011,HILLSIDE AV/189 ST,40.715309,-73.772827
500012,HILLSIDE AV/191 ST,40.716032,-73.770711
500013,HILLSIDE AV/193 ST,40.716736,-73.768676
500014,HILLSIDE AV/195 PL,40.717362,-73.767011
500017,HILLSIDE AV/202 ST,40.719903,-73.762044
500018,HILLSIDE AV/205 ST,40.720923,-73.759535
500019,HILLSIDE AV/207 ST,40.721724,-73.758300
500022,HILLSIDE AV/212 ST,40.724847,-73.753700
500023,HILLSIDE AV/214 ST,40.726134,-73.751315
500024,HILLSIDE AV/215 PL,40.727252,-73.748964
500025,HILLSIDE AV/218 ST,40.728342,-73.746900
500026,HILLSIDE AV/SPRINGFIELD BL,40.729615,-73.744606
500027,SPRINGFIELD BL/89 AV,40.729077,-73.744034
500028,SPRINGFIELD BL/90 AV,40.726543,-73.741343
500029,SPRINGFIELD BL/91 AV,40.725407,-73.740139
