agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color
MTA NYCT,B84,B84,Spring Creek-New Lots,3,via Ashford Street/Flatlands Avenue,006CB7,FFFFFF
MTA NYCT,B9,B9,Bay Ridge - Kings Plaza,3,via 60th St / Avenue M,EE352E,FFFFFF
MTA NYCT,Q24,Q24,Broadway Junction - Jamaica,3,via Atlantic Av,00AEEF,FFFFFF
MTA NYCT,Q54,Q54,Williamsburg - Jamaica,3,via Jamaica Av / Metropolitan Av,B933AD,FFFFFF
MTA NYCT,Q55,Q55,Ridgewood - Richmond Hill,3,via Myrtle Av,EE352E,FFFFFF
MTA NYCT,Q56,Q56,Broadway Junction - Jamaica,3,via Jamaica Av,B933AD,FFFFFF
MTA NYCT,Q58,Q58,Ridgewood - Flushing,3,via Fresh Pond Rd / Corona Av / College Pt Blvd,6CBE45,FFFFFF
MTA NYCT,Q59,Q59,Williamsburg - Rego Park,3,via Grand St / Grand Av / Queens Blvd,FAA61A,FFFFFF
MTA NYCT,X27,X27,Bay Ridge - Manhattan Express,3,via Shore Rd,00933C,FFFFFF
MTA NYCT,X28,X28,Sea Gate / Bensonhurst - Manhattan Express,3,via Surf Av / Cropsey Av,00933C,FFFFFF
MTA NYCT,X37,X37,Bay Ridge - Midtown Manhattan Express,3,via Shore Rd,00933C,FFFFFF
MTA NYCT,X38,X38,Sea Gate / Bensonhurst - Midtown Manhattan Express,3,via Surf Av / Cropsey Av,00933C,FFFFFF
MTA NYCT,F1,F1,CULVER LINK F Shuttle Bus-Church Avenue and McDonald Avenue,3,via McDonald Avenue and Surf Avenue and Stillwell Avenue,EE352E,FFFFFF
