stop_id,stop_name,stop_lat,stop_lon
200147,BAY ST/WATER ST,40.627083,-74.075818
200148,BAY ST/PROSPECT ST,40.628477,-74.076382
200149,BAY ST/WAVE ST,40.629791,-74.076621
200151,BAY ST/GRANT ST,40.633278,-74.075137
200152,BAY ST/HANNAH ST,40.635811,-74.075730
200153,BAY ST/VICTORY BL,40.637518,-74.075956
200154,BAY ST/SLOSSON TE,40.639512,-74.075477
200157,MIDLAND AV/RICHMOND RD,40.581943,-74.110041
200159,MIDLAND AV/CLAWSON ST,40.578766,-74.103994
200160,MIDLAND AV/EDISON ST,40.579554,-74.105575
200161,MIDLAND AV/HYLAN BL,40.577697,-74.101980
200163,FR CAPODANNO BL/DOTY AV,40.592341,-74.063934
200165,FR CAPODANNO BL/OCEAN AV,40.595037,-74.062732
200166,FR CAPODANNO BL/OCEAN AV,40.596979,-74.061974
200170,LILY POND AV/MC CLEAN AV,40.598594,-74.063665
200171,FR CAPODANNO BL/ROBIN RD,40.595718,-74.062669
200173,FR CAPODANNO BL/DOTY AV,40.592146,-74.064667
200176,BAY ST/NICK LAPORTE PL,40.641846,-74.075573
200177,BAY ST/CENTRAL AV,40.638762,-74.075810
200178,BAY ST/VICTORY BL,40.637518,-74.076201
200180,BAY ST/GRANT ST,40.632902,-74.075587
200181,BAY ST/WILLIAM ST,40.630615,-74.076712
200183,BAY ST/PROSPECT ST,40.628617,-74.076555
200184,BAY ST/WATER ST,40.626764,-74.075789
200185,BAY ST/BROAD ST,40.625755,-74.075179
200187,BAY ST/VANDERBILT AV,40.622172,-74.072412
200188,BAY ST/TOWNSEND AV,40.621198,-74.071640
200189,BAY ST/EDGEWATER ST,40.620155,-74.070850
200190,BAY ST/WILLOW AV,40.618718,-74.069635
200191,BAY ST/CHESTNUT AV,40.617253,-74.068567
200192,BAY ST/ST MARYS AV,40.616021,-74.067658
200193,BAY ST/HYLAN BL,40.613788,-74.066010
200194,BAY ST/ST JOHNS AV,40.611925,-74.064632
200195,BAY ST/FINGERBOARD RD,40.609066,-74.062526
200196,BAY ST/LYMAN AV,40.607472,-74.061347
200197,SCHOOL RD/DENNIS TORRICELLI ST,40.605837,-74.063964
200198,SCHOOL RD/TOMPKINS AV,40.604961,-74.065616
200200,LILY POND AV/MAJOR AV,40.600265,-74.064787
200201,MC CLEAN AV/LILY POND AV,40.598841,-74.064220
200202,CLOVE RD/CLOVE LAKE PARK,40.619280,-74.106510
200203,MC CLEAN AV/MILLS AV,40.597254,-74.069033
200204,SAND LA/McCLEAN AV,40.596810,-74.070569
200206,MC CLEAN AV/HICKORY AV,40.595585,-74.074126
200207,MC CLEAN AV/JEROME AV,40.595040,-74.075782
200210,NORWAY AV/OLYMPIA BL,40.590829,-74.076965
200211,OLYMPIA BL/MCLAUGHLIN ST,40.591569,-74.073911
200218,FR CAPODANNO BL/BURGHER AV,40.583733,-74.073308
200219,FR CAPODANNO BL/ATLANTIC AV,40.583066,-74.073943
200220,FR CAPODANNO BL/DELAWARE AV,40.582316,-74.074709
200223,FR CAPADONNO BL/SEAVIEW AV,40.579467,-74.077709
