route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
S48,CA_F0-Sunday-082500_MISC_445,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
S46,CA_F0-Sunday-082500_MISC_450,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
S40,CA_F0-Sunday-082500_MISC_461,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
SIM33C,CA_F0-Sunday-082500_SIM33_302,CA_F0-Sunday,MIDTOWN via CHURCH via MADISON AV,0,SIM330083
S53,CA_F0-Sunday-082700_MISC_417,CA_F0-Sunday,PORT RICHMOND,1,S530128
S40,CA_F0-Sunday-083000_MISC_422,CA_F0-Sunday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S51,CA_F0-Sunday-083000_MISC_432,CA_F0-Sunday,ST GEORGE FRRY via FT WDSWRTH via BAY ST,0,S510106
S48,CA_F0-Sunday-083500_MISC_453,CA_F0-Sunday,ST GEORGE FERRY via FOREST,0,S480103
S46,CA_F0-Sunday-083500_MISC_460,CA_F0-Sunday,ST GEORGE FERRY via CASTLETON,0,S460279
S53,CA_F0-Sunday-083600_MISC_455,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
S53,CA_F0-Sunday-083900_MISC_416,CA_F0-Sunday,PORT RICHMOND,1,S530128
S76,CA_F0-Sunday-084000_MISC_415,CA_F0-Sunday,OAKWOOD MILL RD,1,S760085
S51,CA_F0-Sunday-084000_MISC_418,CA_F0-Sunday,GRANT CITY via BAY ST via FT WADSWORTH,1,S510094
S48,CA_F0-Sunday-084000_MISC_425,CA_F0-Sunday,ARLINGTON HOLLAND AV via FOREST,1,S480093
S46,CA_F0-Sunday-084000_MISC_436,CA_F0-Sunday,WEST SHORE PLZ via CASTLETON,1,S460283
SIM3C,CA_F0-Sunday-084000_MISC_437,CA_F0-Sunday,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0059
S40,CA_F0-Sunday-084000_MISC_440,CA_F0-Sunday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S52,CA_F0-Sunday-084000_MISC_465,CA_F0-Sunday,S I HOSPITAL SEAVIEW AV,1,S520123
SIM33C,CA_F0-Sunday-084500_MISC_435,CA_F0-Sunday,MIDTOWN via CHURCH via MADISON AV,0,SIM330083
S52,CA_F0-Sunday-084500_MISC_447,CA_F0-Sunday,ST GEORGE FERRY,0,S520126
S40,CA_F0-Sunday-084500_MISC_457,CA_F0-Sunday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S53,CA_F0-Sunday-084800_MISC_466,CA_F0-Sunday,BAY RIDGE 86 ST STATION,0,S530127
S76,CA_F0-Sunday-085000_MISC_428,CA_F0-Sunday,ST GEORGE FERRY,0,S760080
SIM3C,CA_F0-Sunday-085000_MISC_459,CA_F0-Sunday,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0064
