route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
1,7721,9321216,Grand Central,704,1,,1,1,1
1,7721,9321217,Croton-Harmon,705,0,,12,1,1
1,7721,9321218,Grand Central,706,1,,1,1,1
1,7721,9321219,Croton-Harmon,707,0,,12,1,1
1,7721,9321220,Grand Central,708,1,,1,1,1
1,7721,9321221,Croton-Harmon,709,0,,12,1,1
1,7721,9321222,Grand Central,710,1,,1,1,1
1,7721,9321223,Croton-Harmon,711,0,,12,1,1
1,7721,9321224,Grand Central,712,1,,1,1,1
1,7721,9321225,Croton-Harmon,713,0,,12,1,1
1,7721,9321226,Grand Central,714,1,,1,1,1
1,7721,9321227,Croton-Harmon,715,0,,12,1,1
1,7721,9321228,Grand Central,716,1,,1,1,1
1,7721,9321229,Croton-Harmon,717,0,,12,1,0
1,7721,9321230,Grand Central,718,1,,1,1,1
1,7721,9321231,Croton-Harmon,719,0,,12,1,0
1,7721,9321232,Grand Central,720,1,,1,1,1
1,7721,9321233,Croton-Harmon,721,0,,12,1,0
1,7721,9321234,Grand Central,722,1,,1,1,1
1,7721,9321235,Croton-Harmon,723,0,,12,1,0
1,7721,9321236,Grand Central,724,1,,1,1,1
1,7721,9321237,Croton-Harmon,725,0,,12,1,0
1,7721,9321238,Croton-Harmon,727,0,,12,1,0
1,7721,9321239,Grand Central,728,1,,1,1,1
1,7721,9321240,Croton-Harmon,729,0,,12,1,0
1,7721,9321241,Grand Central,730,1,,1,1,1
1,7721,9321242,Croton-Harmon,731,0,,12,1,0
1,7721,9321243,Grand Central,732,1,,1,1,1
1,7721,9321244,Croton-Harmon,733,0,,12,1,0
1,7721,9321245,Grand Central,734,1,,1,1,1
1,7721,9321246,Croton-Harmon,735,0,,12,1,0
1,7721,9321247,Grand Central,736,1,,1,1,1
1,7721,9321248,Croton-Harmon,737,0,,12,1,0
1,7721,9321249,Grand Central,738,1,,1,1,1
1,7721,9321250,Croton-Harmon,739,0,,12,1,0
1,7721,9321251,Grand Central,740,1,,1,1,1
1,7721,9321252,Croton-Harmon,741,0,,12,1,0
1,7721,9321253,Grand Central,742,1,,1,1,1
1,7721,9321254,Croton-Harmon,743,0,,12,1,0
1,7721,9321255,Grand Central,744,1,,1,1,0
1,7721,9321256,Croton-Harmon,745,0,,12,1,1
1,7721,9321257,Grand Central,746,1,,1,1,0
