"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"1","E41A6EE9","GO502_19_148","Babylon","","0","DF671E6C"
"1","E94DFA13","GO502_19_149","Penn Station","","1","DF671E6C"
"1","A4A9479A","GO502_19_149_1","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_150","Babylon","","0","C85CC273"
"1","E41A6EE9","GO502_19_151","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_152","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_153","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_154","Babylon","","0","C85CC273"
"1","E41A6EE9","GO502_19_155","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_156","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_157","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_158","Babylon","","0","C85CC273"
"1","E41A6EE9","GO502_19_159","Penn Station","","1","5E99E8D9"
"1","E41A6EE9","GO502_19_160","Babylon","","0","DF671E6C"
"1","E94DFA13","GO502_19_161","Penn Station","","1","DF671E6C"
"1","A4A9479A","GO502_19_161_1","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_162","Babylon","","0","C85CC273"
"1","E41A6EE9","GO502_19_163","Penn Station","","1","DF671E6C"
"1","44FE779B","GO502_19_164","Babylon","","0","5E99E8D9"
"1","E41A6EE9","GO502_19_166","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_168","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_170","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_172","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_174","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_176","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_180","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_182","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_184","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_186","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_188","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_190","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_192","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_194","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_196","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_198","Babylon","","0","DF671E6C"
"4","E41A6EE9","GO502_19_200","Greenport","","0","54C9D02A"
"4","E41A6EE9","GO502_19_201","Ronkonkoma","","1","54C9D02A"
"4","E41A6EE9","GO502_19_202","Greenport","","0","54C9D02A"
"4","E41A6EE9","GO502_19_203","Ronkonkoma","","1","54C9D02A"
"4","E41A6EE9","GO502_19_250","Greenport","","0","54C9D02A"
"4","E41A6EE9","GO502_19_251","Ronkonkoma","","1","54C9D02A"
"4","A2734A01","GO502_19_252","Yaphank","","0","BF914065"
"4","A2734A01","GO502_19_253","Ronkonkoma","","1","BF914065"
"4","44FE779B","GO502_19_254","Greenport","","0","54C9D02A"
"4","44FE779B","GO502_19_255","Jamaica","","1","3E60E111"
"4","E41A6EE9","GO502_19_256","Greenport","","0","54C9D02A"
"4","E94DFA13","GO502_19_257","Ronkonkoma","","1","54C9D02A"
"4","A4A9479A","GO502_19_259","Ronkonkoma","","1","54C9D02A"
"4","A4A9479A","GO502_19_261","Ronkonkoma","","1","54C9D02A"
"9","E41A6EE9","GO502_19_300","Great Neck","","0","09646F9B"
"9","E41A6EE9","GO502_19_301","Penn Station","","1","09646F9B"
"9","E41A6EE9","GO502_19_303","Penn Station","","1","BF4A44C1"
"9","E41A6EE9","GO502_19_305","Penn Station","","1","BF4A44C1"
"9","E41A6EE9","GO502_19_307","Penn Station","","1","09646F9B"
"9","E41A6EE9","GO502_19_309","Penn Station","","1","09646F9B"
"9","E41A6EE9","GO502_19_311","Penn Station","","1","09646F9B"
"9","55FBEB8C","GO502_19_313","Penn Station","","1","09646F9B"
"9","55FBEB8C","GO502_19_315","Penn Station","","1","09646F9B"
"9","3B1BA1A5","GO502_19_351","Penn Station","","1","09646F9B"
"9","3B1BA1A5","GO502_19_353","Penn Station","","1","09646F9B"
"9","09E4B213","GO502_19_354","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_355","Penn Station","","1","09646F9B"
"9","5B944603","GO502_19_356","Great Neck","","0","09646F9B"
"9","5B944603","GO502_19_358","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_360","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_362","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_364","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_366","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_368","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_370","Great Neck","","0","09646F9B"
"9","3B1BA1A5","GO502_19_398","Great Neck","","0","09646F9B"
"9","C2653465","GO502_19_400","Port Washington","","0","6F8FDD4A"
"9","C2653465","GO502_19_401","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_402","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_403","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_404","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_405","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_406","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_407","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_408","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_409","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_410","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_411","Penn Station","","1","6F8FDD4A"
"9","E41A6EE9","GO502_19_412","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_413","Penn Station","","1","6F8FDD4A"
"9","55FBEB8C","GO502_19_414","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_415","Penn Station","","1","6F8FDD4A"
"9","55FBEB8C","GO502_19_416","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_418","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_419","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_420","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_421","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_422","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_423","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_424","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_425","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_426","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_427","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_428","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_429","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_430","Port Washington","","0","6F8FDD4A"
"9","E41A6EE9","GO502_19_431","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_432","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_433","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_434","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_435","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_436","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_437","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_438","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_439","Penn Station","","1","6F8FDD4A"
"9","683A8FD5","GO502_19_440","Port Washington","","0","6F8FDD4A"
"9","683A8FD5","GO502_19_441","Penn Station","","1","6F8FDD4A"
"9","5B944603","GO502_19_442","Port Washington","","0","6F8FDD4A"
