route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,7054,8657961,Grand Central,6547,1,,5,1,0
3,7054,8657962,New Haven,6548,0,,16,1,0
3,7054,8657963,Grand Central,6549,1,,5,1,0
3,7054,8657964,New Haven,6550,0,,16,1,0
3,7054,8657965,Grand Central,6551,1,,5,1,0
3,7054,8657966,New Haven,6552,0,,16,1,0
3,7054,8657967,Grand Central,6553,1,,5,1,0
3,7054,8657968,New Haven,6554,0,,16,1,0
3,7054,8657969,Grand Central,6555,1,,5,1,0
3,7054,8657970,New Haven,6556,0,,16,1,0
3,7054,8657971,Grand Central,6557,1,,5,1,0
3,7054,8657972,New Haven,6558,0,,16,1,0
3,7054,8657973,Grand Central,6559,1,,5,1,0
3,7054,8657974,New Haven,6560,0,,16,1,0
3,7054,8657975,Grand Central,6561,1,,5,1,0
3,7054,8657976,New Haven,6562,0,,16,1,0
3,7054,8657977,New Haven,6564,0,,16,1,0
3,7054,8657978,Grand Central,6565,1,,5,1,0
3,7054,8657979,New Haven,6566,0,,16,1,0
3,7054,8657980,New Haven,6568,0,,16,1,0
3,7054,8657981,Grand Central,6569,1,,5,1,0
3,7054,8657982,New Haven,6570,0,,16,1,0
3,7054,8657983,Grand Central,6571,1,,5,1,0
3,7054,8657984,Grand Central,6573,1,,5,1,0
3,7054,8657985,New Haven,6598,0,,16,1,0
4,7054,8657987,New Canaan,6704,0,,19,1,0
4,7054,8657988,Stamford,6705,1,,8,1,0
4,7054,8657989,New Canaan,6706,0,,19,1,0
4,7054,8657990,Stamford,6709,1,,8,1,0
4,7054,8657991,New Canaan,6710,0,,19,1,0
4,7054,8657992,Stamford,6713,1,,8,1,0
4,7054,8657993,New Canaan,6714,0,,19,1,0
4,7054,8657994,Stamford,6717,1,,8,1,0
4,7054,8657995,New Canaan,6718,0,,19,1,0
4,7054,8657996,Stamford,6721,1,,8,1,0
4,7054,8657997,New Canaan,6722,0,,19,1,0
4,7054,8657998,Stamford,6725,1,,8,1,0
4,7054,8657999,New Canaan,6726,0,,19,1,0
4,7054,8658000,Stamford,6729,1,,8,1,0
4,7054,8658001,New Canaan,6730,0,,19,1,0
4,7054,8658002,Stamford,6733,1,,8,1,0
4,7054,8658003,New Canaan,6734,0,,19,1,0
4,7054,8658004,Stamford,6737,1,,8,1,0
4,7054,8658005,New Canaan,6738,0,,19,1,0
4,7054,8658006,Stamford,6741,1,,8,1,0
4,7054,8658007,New Canaan,6742,0,,19,1,0
4,7054,8658008,Stamford,6745,1,,8,1,0
4,7054,8658009,New Canaan,6746,0,,19,1,0
4,7054,8658010,Stamford,6749,1,,8,1,0
4,7054,8658011,New Canaan,6750,0,,19,1,0
4,7054,8658012,Stamford,6753,1,,8,1,0
4,7054,8658013,New Canaan,6754,0,,19,1,0
4,7054,8658014,Stamford,6757,1,,8,1,0
4,7054,8658015,New Canaan,6758,0,,19,1,0
4,7054,8658016,Stamford,6761,1,,8,1,0
4,7054,8658017,New Canaan,6762,0,,19,1,0
4,7054,8658018,Stamford,6765,1,,8,1,0
4,7054,8658019,New Canaan,6766,0,,19,1,0
4,7054,8658020,Stamford,6769,1,,8,1,0
4,7054,8658021,New Canaan,6770,0,,19,1,0
4,7054,8658022,Stamford,6771,1,,8,1,0
4,7054,8658023,New Canaan,6798,0,,19,1,0
5,7054,8658025,Danbury,6810,0,,21,1,0
5,7054,8658026,South Norwalk,6813,1,,10,1,0
5,7054,8658027,Danbury,6822,0,,21,1,0
5,7054,8658028,South Norwalk,6825,1,,10,1,0
5,7054,8658029,Danbury,6834,0,,21,1,0
5,7054,8658030,South Norwalk,6837,1,,10,1,0
5,7054,8658031,Danbury,6846,0,,21,1,0
5,7054,8658032,South Norwalk,6849,1,,10,1,0
5,7054,8658033,South Norwalk,6861,1,,10,1,0
5,7054,8658034,Danbury,6862,0,,21,1,0
5,7054,8658035,Danbury,6870,0,,21,1,0
5,7054,8658036,South Norwalk,6873,1,,10,1,0
6,7054,8658038,Waterbury,6906,0,,22,1,0
6,7054,8658039,Bridgeport,6913,1,,11,1,0
6,7054,8658040,Waterbury,6918,0,,22,1,0
6,7054,8658041,Bridgeport,6925,1,,11,1,0
6,7054,8658042,Waterbury,6930,0,,22,1,0
6,7054,8658043,Bridgeport,6937,1,,11,1,0
6,7054,8658044,Waterbury,6942,0,,22,1,0
6,7054,8658045,Bridgeport,6949,1,,11,1,0
6,7054,8658046,Waterbury,6954,0,,22,1,0
6,7054,8658047,Bridgeport,6961,1,,11,1,0
6,7054,8658048,Waterbury,6966,0,,22,1,0
6,7054,8658049,Bridgeport,6971,1,,11,1,0
1,7054,8658050,Grand Central,8700,1,,1,1,0
1,7054,8658051,Croton-Harmon,8701,0,,12,1,0
1,7054,8658052,Grand Central,8704,1,,1,1,0
1,7054,8658053,Croton-Harmon,8705,0,,12,1,0
1,7054,8658054,Croton-Harmon,8707,0,,12,1,0
1,7054,8658055,Grand Central,8708,1,,1,1,0
1,7054,8658056,Croton-Harmon,8711,0,,12,1,0
1,7054,8658057,Grand Central,8712,1,,1,1,0
1,7054,8658058,Croton-Harmon,8715,0,,12,1,0
1,7054,8658059,Grand Central,8716,1,,1,1,0
1,7054,8658060,Grand Central,8718,1,,1,1,0
1,7054,8658061,Croton-Harmon,8719,0,,12,1,0
1,7054,8658062,Grand Central,8720,1,,1,1,0
1,7054,8658063,Grand Central,8722,1,,1,1,0
1,7054,8658064,Croton-Harmon,8723,0,,12,1,0
1,7054,8658065,Grand Central,8724,1,,1,1,0
1,7054,8658066,Croton-Harmon,8725,0,,12,1,0
1,7054,8658067,Grand Central,8726,1,,1,1,0
1,7054,8658068,Croton-Harmon,8727,0,,12,1,0
1,7054,8658069,Grand Central,8728,1,,1,1,0
1,7054,8658070,Croton-Harmon,8729,0,,12,1,0
1,7054,8658071,Grand Central,8730,1,,1,1,0
1,7054,8658072,Croton-Harmon,8731,0,,12,1,0
1,7054,8658073,Grand Central,8732,1,,1,1,0
1,7054,8658074,Croton-Harmon,8733,0,,12,1,0
1,7054,8658075,Grand Central,8734,1,,1,1,0
1,7054,8658076,Croton-Harmon,8735,0,,12,1,0
1,7054,8658077,Grand Central,8736,1,,1,1,0
1,7054,8658078,Croton-Harmon,8737,0,,12,1,0
1,7054,8658079,Grand Central,8738,1,,1,1,0
1,7054,8658080,Croton-Harmon,8739,0,,12,1,0
1,7054,8658081,Grand Central,8740,1,,1,1,0
1,7054,8658082,Croton-Harmon,8741,0,,12,1,0
1,7054,8658083,Grand Central,8742,1,,1,1,0
1,7054,8658084,Croton-Harmon,8743,0,,12,1,0
1,7054,8658085,Grand Central,8744,1,,1,1,0
1,7054,8658086,Croton-Harmon,8745,0,,12,1,0
1,7054,8658087,Grand Central,8746,1,,1,1,0
1,7054,8658088,Croton-Harmon,8747,0,,12,1,0
1,7054,8658089,Grand Central,8748,1,,1,1,0
1,7054,8658090,Croton-Harmon,8749,0,,12,1,0
1,7054,8658091,Grand Central,8750,1,,1,1,0
1,7054,8658092,Croton-Harmon,8751,0,,12,1,0
1,7054,8658093,Grand Central,8752,1,,1,1,0
1,7054,8658094,Croton-Harmon,8753,0,,12,1,0
1,7054,8658095,Grand Central,8754,1,,1,1,0
1,7054,8658096,Croton-Harmon,8755,0,,12,1,0
1,7054,8658097,Grand Central,8756,1,,1,1,0
1,7054,8658098,Croton-Harmon,8757,0,,12,1,0
1,7054,8658099,Grand Central,8758,1,,1,1,0
1,7054,8658100,Croton-Harmon,8759,0,,12,1,0
1,7054,8658101,Grand Central,8760,1,,1,1,0
1,7054,8658102,Croton-Harmon,8761,0,,12,1,0
1,7054,8658103,Grand Central,8762,1,,1,1,0
1,7054,8658104,Croton-Harmon,8763,0,,12,1,0
1,7054,8658105,Grand Central,8764,1,,1,1,0
1,7054,8658106,Croton-Harmon,8767,0,,12,1,0
1,7054,8658107,Grand Central,8768,1,,1,1,0
1,7054,8658108,Croton-Harmon,8769,0,,12,1,0
1,7054,8658109,Croton-Harmon,8771,0,,12,1,0
1,7054,8658110,Grand Central,8772,1,,1,1,0
1,7054,8658111,Grand Central,8776,1,,1,1,0
1,7054,8658112,Croton-Harmon,8797,0,,12,1,0
1,7054,8658113,Grand Central,8798,1,,1,1,0
1,7054,8658114,Croton-Harmon,8799,0,,12,1,0
1,7054,8658116,Poughkeepsie,8801,0,,12,1,0
1,7054,8658117,Grand Central,8802,1,,1,1,0
1,7054,8658118,Poughkeepsie,8805,0,,12,1,0
1,7054,8658119,Poughkeepsie,8807,0,,12,1,0
1,7054,8658120,Grand Central,8808,1,,1,1,0
1,7054,8658121,Poughkeepsie,8811,0,,12,1,0
1,7054,8658122,Grand Central,8812,1,,1,1,0
1,7054,8658123,Poughkeepsie,8815,0,,12,1,0
1,7054,8658124,Grand Central,8816,1,,1,1,0
1,7054,8658125,Poughkeepsie,8819,0,,12,1,0
1,7054,8658126,Grand Central,8820,1,,1,1,0
1,7054,8658127,Poughkeepsie,8823,0,,12,1,0
1,7054,8658128,Grand Central,8824,1,,1,1,0
1,7054,8658129,Grand Central,8826,1,,1,1,0
1,7054,8658130,Poughkeepsie,8827,0,,12,1,0
1,7054,8658131,Grand Central,8828,1,,1,1,0
1,7054,8658132,Poughkeepsie,8831,0,,12,1,0
1,7054,8658133,Grand Central,8832,1,,1,1,0
1,7054,8658134,Poughkeepsie,8835,0,,12,1,0
1,7054,8658135,Grand Central,8836,1,,1,1,0
1,7054,8658136,Poughkeepsie,8839,0,,12,1,0
1,7054,8658137,Grand Central,8840,1,,1,1,0
1,7054,8658138,Poughkeepsie,8843,0,,12,1,0
1,7054,8658139,Grand Central,8844,1,,1,1,0
1,7054,8658140,Poughkeepsie,8845,0,,12,1,0
1,7054,8658141,Grand Central,8846,1,,1,1,0
1,7054,8658142,Poughkeepsie,8847,0,,12,1,0
1,7054,8658143,Grand Central,8848,1,,1,1,0
1,7054,8658144,Poughkeepsie,8849,0,,12,1,0
1,7054,8658145,Poughkeepsie,8851,0,,12,1,0
1,7054,8658146,Grand Central,8852,1,,1,1,0
1,7054,8658147,Poughkeepsie,8855,0,,12,1,0
1,7054,8658148,Grand Central,8856,1,,1,1,0
1,7054,8658149,Poughkeepsie,8859,0,,12,1,0
1,7054,8658150,Grand Central,8860,1,,1,1,0
1,7054,8658151,Poughkeepsie,8863,0,,12,1,0
1,7054,8658152,Grand Central,8864,1,,1,1,0
1,7054,8658153,Poughkeepsie,8867,0,,12,1,0
1,7054,8658154,Grand Central,8868,1,,1,1,0
1,7054,8658155,Poughkeepsie,8871,0,,12,1,0
1,7054,8658156,Grand Central,8872,1,,1,1,0
1,7054,8658157,Croton-Harmon,8876,1,,1,1,0
1,7054,8658158,Poughkeepsie,8897,0,,12,1,0
1,7054,8658159,Croton-Harmon,8898,1,,1,1,0
2,7054,8658160,Crestwood,9317,0,,14,1,0
2,7054,8658161,Grand Central,9320,1,,3,1,0
2,7054,8658162,Crestwood,9321,0,,14,1,0
2,7054,8658163,Grand Central,9324,1,,3,1,0
2,7054,8658164,Crestwood,9325,0,,14,1,0
2,7054,8658165,Grand Central,9328,1,,3,1,0
2,7054,8658166,Crestwood,9329,0,,14,1,0
2,7054,8658167,Grand Central,9332,1,,3,1,0
2,7054,8658168,Crestwood,9333,0,,14,1,0
2,7054,8658169,Grand Central,9336,1,,3,1,0
2,7054,8658170,Crestwood,9337,0,,14,1,0
2,7054,8658171,Grand Central,9340,1,,3,1,0
2,7054,8658172,Crestwood,9341,0,,14,1,0
2,7054,8658173,Grand Central,9344,1,,3,1,0
2,7054,8658174,Crestwood,9345,0,,14,1,0
2,7054,8658175,Grand Central,9348,1,,3,1,0
2,7054,8658176,Crestwood,9349,0,,14,1,0
2,7054,8658177,Grand Central,9352,1,,3,1,0
2,7054,8658178,Crestwood,9353,0,,14,1,0
2,7054,8658179,Grand Central,9356,1,,3,1,0
2,7054,8658180,Crestwood,9357,0,,14,1,0
2,7054,8658181,Grand Central,9360,1,,3,1,0
2,7054,8658182,Crestwood,9361,0,,14,1,0
2,7054,8658183,Grand Central,9364,1,,3,1,0
2,7054,8658184,Grand Central,9502,1,,3,1,0
2,7054,8658185,Grand Central,9506,1,,3,1,0
