stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
100225,"WESTCHESTER AV/CROES AV",,  40.830433, -73.871123,,,0,
100227,"WESTCHESTER AV/ST LAWRENCE AV",,  40.831403, -73.867516,,,0,
100229,"WESTCHESTER AV/THIERIOT AV",,  40.832192, -73.864753,,,0,
100230,"WESTCHESTER AV/WHITE PLAINS RD",,  40.832780, -73.862939,,,0,
100232,"WESTCHESTER AV/PUGSLEY AV",,  40.833436, -73.857990,,,0,
100233,"WESTCHESTER AV/OLMSTEAD AV",,  40.833786, -73.854400,,,0,
100234,"WESTCHESTER AV/CASTLE HILL AV",,  40.834049, -73.851805,,,0,
100235,"WESTCHESTER AV/ZEREGA AV",,  40.836570, -73.846679,,,0,
100236,"WESTCHESTER AV/ST PETERS AV",,  40.838373, -73.844607,,,0,
100239,"WESTCHESTER AV/ST PETERS AV",,  40.838694, -73.844549,,,0,
100240,"WESTCHESTER AV/ZEREGA AV",,  40.836965, -73.846642,,,0,
100242,"WESTCHESTER AV/CASTLE HILL AV",,  40.834285, -73.851469,,,0,
100243,"WESTCHESTER AV/OLMSTEAD AV",,  40.834011, -73.854454,,,0,
100244,"WESTCHESTER AV/PUGSLEY AV",,  40.833634, -73.857595,,,0,
100245,"HUGH GRANT CIR/METROPOLITAN AV",,  40.833603, -73.861155,,,0,
100246,"WESTCHESTER AV/WHITE PLAINS RD",,  40.833124, -73.862536,,,0,
100247,"WESTCHESTER AV/THIERIOT AV",,  40.832481, -73.864456,,,0,
100249,"WESTCHESTER AV/ST LAWRENCE AV",,  40.831740, -73.867069,,,0,
100253,"WESTCHESTER AV/MORRISON AV",,  40.829621, -73.874493,,,0,
100254,"WESTCHESTER AV/MANOR AV",,  40.829061, -73.876312,,,0,
100255,"WESTCHESTER AV/BOYNTON AV",,  40.828733, -73.878123,,,0,
100256,"WESTCHESTER AV/ELDER AV",,  40.828652, -73.879059,,,0,
100259,"WESTCHESTER AV/HOME ST",,  40.827468, -73.886606,,,0,
100260,"WESTCHESTER AV/HOE AV",,  40.825203, -73.891115,,,0,
100261,"WESTCHESTER AV/SIMPSON ST",,  40.824326, -73.892779,,,0,
100262,"WESTCHESTER AV/TIFFANY ST",,  40.823287, -73.894721,,,0,
100264,"WESTCHESTER AV/E 163 ST",,  40.821252, -73.898828,,,0,
100265,"WESTCHESTER AV/PROSPECT AV",,  40.819923, -73.901226,,,0,
100266,"WESTCHESTER AV/UNION AV",,  40.818958, -73.903102,,,0,
