route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
Q26,MTA NYCT,Q26,Fresh Meadows - Flushing (Part-time),via Hollis Court Blvd / 46th Av,3
Q27,MTA NYCT,Q27,Cambria Heights - Flushing,via Springfield Blvd / Rocky Hill Rd / 46th Av,3
Q28,MTA NYCT,Q28,Bayside - Flushing,via Northern Blvd / 32nd Av,3
Q30,MTA NYCT,Q30,Little Neck or Queensborough Community College - Jamaica,via Horace Harding Expwy / Utopia Pkwy,3
Q31,MTA NYCT,Q31,Bayside - Jamaica,via Bell Blvd / Utopia Pkwy,3
Q32,MTA NYCT,Q32,Jackson Heights - Penn Station,via Roosevelt Av / Fifth Av / Madison Av,3
Q36,MTA NYCT,Q36,Floral Park or Little Neck - Jamaica,via Jamaica Av / Hillside Av,3
Q42,MTA NYCT,Q42,Addeslieigh Park - Jamaica,via 174 St / Liberty Av,3
Q43,MTA NYCT,Q43,Floral Park - Jamaica,via Hillside Av,3
Q44+,MTA NYCT,Q44-SBS,Bronx Zoo - Jamaica,Select Bus Service via Main St / Cross Bronx Svc Rd (Q20 Limited),3
Q46,MTA NYCT,Q46,Glen Oaks - Kew Gardens,via Union Turnpike,3
Q48,MTA NYCT,Q48,Flushing - LaGuardia Airport,via Roosevelt Av / 108th St / Ditmars Blvd,3
Q54,MTA NYCT,Q54,Williamsburg - Jamaica,via Jamaica Av / Metropolitan Av,3
Q55,MTA NYCT,Q55,Ridgewood - Richmond Hill,via Myrtle Av,3
Q56,MTA NYCT,Q56,Broadway Junction - Jamaica,via Jamaica Av,3
Q58,MTA NYCT,Q58,Ridgewood - Flushing,via Fresh Pond Rd / Corona Av / College Pt Blvd,3
Q59,MTA NYCT,Q59,Williamsburg - Rego Park,via Grand St / Grand Av / Queens Blvd,3
Q76,MTA NYCT,Q76,College Point - Jamaica,via Francis Lewis Blvd / Hillside Av,3
Q77,MTA NYCT,Q77,Laurelton - Jamaica,via Springfield / Francis Lewis / Hillside Av,3
Q83,MTA NYCT,Q83,Cambria Heights - Jamaica,via Murdock Av / Liberty Av (Local and Limited-stop Service) Av,3
Q84,MTA NYCT,Q84,Laurelton - Jamaica,via Merrick Blvd / 120th Av,3
Q85,MTA NYCT,Q85,Rosedale - Jamaica,via Merrick Blvd / Conduit Av,3
Q88,MTA NYCT,Q88,Elmhurst - Queens Village,via Horace Harding Expwy / 73rd Av / Springfield Blvd,3
SIM1,MTA NYCT,SIM1,Staten Island - Lower Manhattan Express,via Hylan Bl / Richmond Av,3
SIM1C,MTA NYCT,SIM1C,Staten Island - Manhattan Express,via Hylan Bl / Richmond Av,3
SIM2,MTA NYCT,SIM2,Staten Island - Lower Manhattan Express,via Huguenot Av / Hylan Bl,3
SIM3,MTA NYCT,SIM3,Staten Island - Midtown Manhattan Express,via Watchogue Rd,3
SIM3C,MTA NYCT,SIM3C,Staten Island - Manhattan Express,via Watchogue Rd,3
SIM4,MTA NYCT,SIM4, Staten Island - Lower Manhattan Express,via Richmond Av,3
SIM4X,MTA NYCT,SIM4X, Staten Island - Lower Manhattan Express,via Park and Ride / Church St,3
SIM4C,MTA NYCT,SIM4C, Staten Island - Manhattan Express,via Richmond Av,3
SIM5,MTA NYCT,SIM5, Staten Island - Lower Manhattan Express, via F Capodanno / Giffords La,3
SIM6,MTA NYCT,SIM6, Staten Island - Midtown Manhattan Express,via F Capodanno / Giffords La,3
SIM7,MTA NYCT,SIM7, Staten Island - Greenwich village Express,via Hylan Bl / Richmond Av,3
SIM8,MTA NYCT,SIM8, Staten Island - Midtown Manhattan Express,via Richmond Av / Woodrow Rd,3
SIM8X,MTA NYCT,SIM8X, Staten Island - Midtown Manhattan Express,via Park and Ride / 42 St,3
SIM9,MTA NYCT,SIM9, Eltingville - Greenwich Village Express,via F Capodanno Blvd,3
SIM10,MTA NYCT,SIM10, Eltingville - Midtown Manhattan Express,via Hylan Bl,3
SIM11,MTA NYCT,SIM11, New Dorp - Midtown Manhattan Express,via Hylan Bl / Madison Av / Lexington Av,3
SIM15,MTA NYCT,SIM15, Eltingville - Lower Manhattan Express,via Richmond Rd,3
SIM22,MTA NYCT,SIM22, Eltingville - Midtown Manhattan Express,via Arthur Kill Rd / Richmond Av,3
SIM23,MTA NYCT,SIM23, Annadale - Midtown Manhattan Express,via Arden Av,3
SIM24,MTA NYCT,SIM24, Prince's Bay - Midtown Manhattan Express,via Huguenot Av,3
SIM25,MTA NYCT,SIM25, Tottenville - Midtown Manhattan Express,via Rossville Av,3
SIM26,MTA NYCT,SIM26, Tottenville - Midtown Manhattan Express,via Bloomingdale Rd,3
SIM30,MTA NYCT,SIM30, Sunnyside - Midtown Manhattan Express,via Forest Av,3
SIM31,MTA NYCT,SIM31, Eltingville - Midtown Manhattan Express,via Forest Hill Rd,3
SIM32,MTA NYCT,SIM32, Travis - Lower Manhattan Express,via N Gannon Av / Victory Bl,3
SIM33,MTA NYCT,SIM33, Mariners Harbor - Greenwich Village Express,via N Gannon Av,3
SIM33C,MTA NYCT,SIM33C, Mariners Harbor - Greenwich Village Express,via N Gannon Av,3
SIM34,MTA NYCT,SIM34, Mariners Harbor - Lower Manhattan Express,via Watchogue Rd,3
SIM35,MTA NYCT,SIM35, Port Richmond - Lower Manhattan Express,via Clove Rd,3
S40,MTA NYCT,S40,St. George - Goethals Rd North,via Richmond Terrace,3
S42,MTA NYCT,S42,St. George - Clyde Place,via St Marks Pl / Jersey St,3
S44,MTA NYCT,S44,St. George - Staten Island Mall,via Richmond Av,3
S46,MTA NYCT,S46,St. George - West Shore Plaza,via Castleton Av,3
S48,MTA NYCT,S48,St. George - Mariners Harbor,via Forest Av,3
S51,MTA NYCT,S51,St. George - West Shore Plaza,via Bay St / Father Capodanno Blvd,3
S52,MTA NYCT,S52,St. George - Staten Island Univ. Hospital,via Tompkins Av / Cebra Av / Jersey St,3
S53,MTA NYCT,S53,Port Richmond - Bay Ridge,via Verrazano-Narrows Bridge / Clove Rd,3
S54,MTA NYCT,S54,West New Brighton - Eltingville,via Manor Rd,3
S55,MTA NYCT,S55,Rossville - Staten Island Mall,via Bloomingdale Rd / Annadale Rd / Richmond Av,3
S56,MTA NYCT,S56,Huguenot - Staten Island Mall,via Richmond Av / Arthur Kill Rd / Foster Rd,3
S57,MTA NYCT,S57,Port Richmond - New Dorp,via Rockland Av / Brielle Av / Bradley Av,3
S59,MTA NYCT,S59,Port Richmond - Tottenville,via Richmond Av,3
S61,MTA NYCT,S61,St. George - Staten Island Mall,via Victory Blvd / Bradley Av,3
S62,MTA NYCT,S62,St. George - Travis,via Victory Blvd,3
S66,MTA NYCT,S66,St. George - Port Richmond,via Victory Blvd / Jewett Av,3
S74,MTA NYCT,S74,St. George - Bricktown Mall,via Richmond Rd / Arthur Kill Rd,3
S76,MTA NYCT,S76,St. George - Oakwood,via Richmond Rd / New Dorp Ln,3
S78,MTA NYCT,S78,St. George - Bricktown Mall,via Hylan Blvd,3
S79+,MTA NYCT,S79-SBS,Staten Island Mall - Bay Ridge,Select Bus Service via Verrazano-Narrows Bridge / Hylan Blvd,3
S81,MTA NYCT,S81,St. George - Grant City LTD,via Bay St / Father Capodanno Blvd (S51 Limited),3
S84,MTA NYCT,S84,St. George - Bricktown Mall LTD,via Richmond Rd / Arthur Kill Rd (S74 Limited),3
S86,MTA NYCT,S86,St. George - Oakwood LTD,via Richmond Rd / New Dorp Ln (S76 Limited),3
S89,MTA NYCT,S89,Eltingville - Bayonne LTD,via Richmond Av (S59 Limited),3
S90,MTA NYCT,S90,St. George - Goethals Rd North LTD,via Richmond Terrace (S40 Limited),3
S91,MTA NYCT,S91,St. George - Staten Island Mall LTD,via Victory Blvd / Bradley Av (S61 Limited),3
S92,MTA NYCT,S92,St. George - Travis LTD,via Victory Blvd (S62 Limited),3
S93,MTA NYCT,S93,College of Staten Island - Bay Ridge LTD,via Verrazano-Narrows / Victory,3
S94,MTA NYCT,S94,St. George - Staten Island Mall LTD,via Richmond Av (S44 Limited),3
S96,MTA NYCT,S96,St. George - West Shore Plaza LTD,via Castleton Av (S46 Limited),3
S98,MTA NYCT,S98,St. George - Mariners Harbor LTD,via Forest Av (S48 Limited),3
X27,MTA NYCT,X27,Bay Ridge - Manhattan Express,via Shore Rd,3
X28,MTA NYCT,X28,Sea Gate / Bensonhurst - Manhattan Express,via Surf Av / Cropsey Av,3
X37,MTA NYCT,X37,Bay Ridge - Midtown Manhattan Express,via Shore Rd,3
X38,MTA NYCT,X38,Sea Gate / Bensonhurst - Midtown Manhattan Express,via Surf Av / Cropsey Av,3
X63,MTA NYCT,X63,Rosedale - Midtown Manhattan Express,via Merrick Bl / Francis Lewis Bl,3
X64,MTA NYCT,X64,Cambria Heights - Midtown Manhattan Express,via Linden Bl / Farmers Bl / Liberty Av,3
X68,MTA NYCT,X68,Floral Park - Midtown Manhattan Express,via Hillside Av / Queens Bl,3
