route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
BX22,GH_F0-Saturday-015000_BX22_1,GH_F0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116,0.0,0
BX24,GH_F0-Saturday-015000_BX24_401,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX24,GH_F0-Saturday-015000_BX24_X37,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX39,GH_F0-Saturday-015500_BX41_2,GH_F0-Saturday,GUN HILL RD,1,BX390167,0.0,0
BX41,GH_F0-Saturday-015900_BX41_1,GH_F0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410305,0.0,0
BX28,GH_F0-Saturday-016000_BX238_1,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX28,GH_F0-Saturday-016000_BX238_2,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-016000_BX402_X55,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX40,GH_F0-Saturday-016000_BX402_X57,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX4,GH_F0-Saturday-016000_BX44A_X43,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-016000_BX44A_X45,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX12,GH_F0-Saturday-017000_BX12_1,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX12,GH_F0-Saturday-017000_BX12_2,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX24,GH_F0-Saturday-017000_BX24_X37,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX24,GH_F0-Saturday-017000_BX24_X38,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX41,GH_F0-Saturday-017300_BX41_2,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304,0.0,0
BX22,GH_F0-Saturday-018000_BX22_1,GH_F0-Saturday,PELHAM PKY,0,BX220115,0.0,0
BX28,GH_F0-Saturday-018000_BX238_X50,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX28,GH_F0-Saturday-018000_BX238_X51,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-018000_BX402_1,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-018000_BX402_2,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-018000_BX44A_X44,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-018000_BX44A_X46,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX24,GH_F0-Saturday-019000_BX24_401,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX24,GH_F0-Saturday-019000_BX24_X38,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX39,GH_F0-Saturday-019300_BX41_1,GH_F0-Saturday,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390157,0.0,0
BX28,GH_F0-Saturday-020000_BX238_1,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX28,GH_F0-Saturday-020000_BX238_2,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX40,GH_F0-Saturday-020000_BX402_X54,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-020000_BX402_X58,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-020000_BX44A_X45,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-020000_BX44A_X47,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX41,GH_F0-Saturday-020900_BX41_2,GH_F0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410305,0.0,0
BX12,GH_F0-Saturday-021000_BX12_1,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX12,GH_F0-Saturday-021000_BX12_2,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX22,GH_F0-Saturday-021000_BX22_1,GH_F0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116,0.0,0
BX24,GH_F0-Saturday-021000_BX24_401,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX24,GH_F0-Saturday-021000_BX24_X39,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX39,GH_F0-Saturday-021500_BX41_1,GH_F0-Saturday,GUN HILL RD,1,BX390167,0.0,0
BX28,GH_F0-Saturday-022000_BX238_X51,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX28,GH_F0-Saturday-022000_BX238_X52,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-022000_BX402_X55,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-022000_BX402_X59,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-022000_BX44A_X46,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-022000_BX44A_X48,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX24,GH_F0-Saturday-023000_BX24_X39,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX24,GH_F0-Saturday-023000_BX24_X40,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX40,GH_F0-Saturday-023000_BX402_3,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400096,0.0,0
BX41,GH_F0-Saturday-023300_BX41_1,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304,0.0,0
BX22,GH_F0-Saturday-024000_BX22_1,GH_F0-Saturday,PELHAM PKY,0,BX220115,0.0,0
BX28,GH_F0-Saturday-024000_BX238_1,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX28,GH_F0-Saturday-024000_BX238_2,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-024000_BX402_1,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX40,GH_F0-Saturday-024000_BX402_2,GH_F0-Saturday,WESTCHESTER SQ,0,BX400114,0.0,0
BX4,GH_F0-Saturday-024000_BX44A_X47,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-024000_BX44A_X49,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX39,GH_F0-Saturday-024300_BX41_2,GH_F0-Saturday,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390157,0.0,0
BX12,GH_F0-Saturday-025000_BX12_1,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX12,GH_F0-Saturday-025000_BX12_2,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX24,GH_F0-Saturday-025000_BX24_401,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX24,GH_F0-Saturday-025000_BX24_X40,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX28,GH_F0-Saturday-025500_BX238_X53,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX28,GH_F0-Saturday-026000_BX238_X52,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX40,GH_F0-Saturday-026000_BX402_X58,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-026000_BX402_X60,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-026000_BX44A_X46,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX4,GH_F0-Saturday-026000_BX44A_X48,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX39,GH_F0-Saturday-026500_BX41_2,GH_F0-Saturday,GUN HILL RD,1,BX390167,0.0,0
BX41,GH_F0-Saturday-026900_BX41_1,GH_F0-Saturday,WEBSTER AV - 189 ST,0,BX410307,0.0,0
BX22,GH_F0-Saturday-027000_BX22_1,GH_F0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116,0.0,0
